,0
241,http://goodreads.com/book/show/11324722-the-righteous-mind
242,http://goodreads.com/book/show/7054123-the-poisoner-s-handbook
243,http://goodreads.com/book/show/2069.Consciousness_Explained
244,http://goodreads.com/book/show/56627.Stumbling_on_Happiness
245,http://goodreads.com/book/show/714583.The_Man_Who_Loved_Only_Numbers
246,http://goodreads.com/book/show/39074550-humble-pi
247,http://goodreads.com/book/show/35631386-the-undoing-project
248,http://goodreads.com/book/show/28186015-weapons-of-math-destruction
249,http://goodreads.com/book/show/23995249-the-invention-of-nature
250,http://goodreads.com/book/show/22609485-the-soul-of-an-octopus
251,http://goodreads.com/book/show/9778945-the-shallows
252,http://goodreads.com/book/show/13589153-how-to-create-a-mind
253,http://goodreads.com/book/show/11709037-you-are-not-so-smart
254,http://goodreads.com/book/show/8696.Last_Chance_to_See
255,http://goodreads.com/author/show/19435939.Brian_Deer
256,http://goodreads.com/author/show/12855.Neil_deGrasse_Tyson
257,http://goodreads.com/book/show/6452796-drive
258,http://goodreads.com/book/show/7937653-the-mind-s-eye
259,http://goodreads.com/book/show/978957.Quirkology
260,http://goodreads.com/book/show/2296.Emergence
261,http://goodreads.com/book/show/55981.Consilience
262,http://goodreads.com/book/show/33933.The_Panda_s_Thumb
263,http://goodreads.com/book/show/1991.Why_Is_Sex_Fun_The_Evolution_of_Human_Sexuality
264,http://goodreads.com/book/show/89281.Why_People_Believe_Weird_Things
265,http://goodreads.com/book/show/7947434-cycles-of-time
266,http://goodreads.com/book/show/30753821-the-greatest-story-ever-told-so-far
267,http://goodreads.com/book/show/25938481-the-genius-of-birds
268,http://goodreads.com/book/show/22514020-neurotribes
269,http://goodreads.com/book/show/20765842
270,http://goodreads.com/book/show/13530973-antifragile
271,http://goodreads.com/book/show/13237758-in-pursuit-of-the-unknown
272,http://goodreads.com/book/show/15816556-time-reborn
273,http://goodreads.com/book/show/7783191-the-invisible-gorilla
274,http://goodreads.com/book/show/6629359-the-strangest-man
275,http://goodreads.com/book/show/9754534-the-believing-brain
276,http://goodreads.com/book/show/6279924-antimatter
277,http://goodreads.com/book/show/208916.The_Music_of_the_Primes
278,http://goodreads.com/book/show/6493321-logicomix
279,http://goodreads.com/book/show/2324327.The_Oxford_Book_of_Modern_Science_Writing
